客戶編號,客戶名稱,地址,電話號碼
P045,旭耀汽車修護廠,臺南市新營區中正路411號,0929-505315 06-6322787
P046,高?汽車,臺南市新營區民治路115號,06-6568975
P047,偉詳工業股份有限公司,嘉義縣民雄工業區中興一街6號,05-2210485
P048,馮嘉銘,,
P049,全方位汽車,臺南市六甲區中華路317號,06-6992055
P050,信興五金材料,,0927-311821
P051,鴻銘車業,臺南市新營區太子路30-1號,0925-077505
P052,盈志汽車保養廠,臺南市白河區大竹里194-15號,
P053,TOYOTA-官田廠,,06-5793158
P054,張家鐘,,
P055,楊宏政,,
P056,真便宜汽車,,06-6595707/6595333
P057,鄭凱澤,,
P058,沈鐵鐵工廠,,6560957
P059,盧俊翰,,912013128
P060,釗聖汽車,,06-6530578
P061,勝順,,6568023
P062,林威志,臺南市新營區太北里149-1號,975157565
P063,文ㄚ,,982515680
P064,欣融,,
P065,巨冠,,932885355
P066,進誠車業,臺南市新營區復興路612號,0981815679 6564201
P067,東泰汽車,臺南市新營區復興路1001號,06-6535658
P068,銓業企業社,臺南市鹽水區竹林里下林22號,912193626
P069,隆大汽車電機,臺南市新營區周武街118號,06-6571855
P070,富億汽車,臺南市下營區賀建里下橋頭1-36號,06-6791909
P071,南峰車業,臺南市麻豆區磚井里1-7號,921569695
P072,長泰汽車電機行,臺南市後壁區福安里下寮182-3號,06-6362889
P073,黃靜玉,,
P074,鑫德汽車 吳德茂,臺南市柳營區163-3號,0932-811911
P075,捷新車業,臺南市官田區湖山里烏山頭115-1號,06-6988997
P076,邱明田,,989873589
P078,明發堆高機,臺南市東山區東正里2之6號,0972-507381
P079,大象電池,臺南市新營區中正路102-1號,06-6325729
P080,日升汽車修護廠,臺南市白河區竹門里13鄰18-17號,06-6851393/6850845
P081,阿凱,,
P082,保進汽車材料行,臺南市新營區秦漢街82號,06-6569977  06-6561133
P083,葉小牛,,915298657
P084,豐祐汽車保養場,臺南市白河區玉豐里海豐厝49-42號,06-6830468  0921413785
P085,漢霖,臺南市新營區金華路283號,0981-396719
P086,國崇汽車,,柳營區1段193號
P087,阿茂汽車工作室,臺南市白河區甘宅里,0935-337010/0963021121
P088,宏哲阿賢,,928714362
P089,阿賓,,
P090,洪亦星,,
P091,林育承,,988543862
P092,羅日青,臺南市六甲區中社里11號,0989926788   0931250805
P093,升阿,,933627631
P094,澤永車業,,988695195
P095,冠來玻璃行,,06-6536120
P096,坤弘汽車電機,臺南市新營區民治路6-42號,06-6359792
P097,大林汽車修護廠,臺南市新營區東山中路32號,06-6350062
P098,鐘偉誠,,935056419
P099,蔡永漢,,972509958
P100,阿吉,龜仔港廣發,0911-327573
P101,威勝輪胎行,龜仔港,975096198
P102,裕豐汽車工作室,臺南市新營區護區里後區96號,939871009
P103,尚冷有限公司,臺南市新營區中正路527巷77號,06-6328920
P104,安生汽車,臺南市後壁區福安里下寮205-3號,06-6333279
P105,誌在汽車保修廠,臺南市新營區新進路二段215之25號,6561410 6562929 6563287
P106,余明恭,,931903123
P107,國通--周振展,,921206821
P108,阿勝,臺南市下營區火燒珠41號,
P109,東昇汽車修配廠,臺南市新營區中營里東山路99號,06-6371796
Q001,鴻展汽車材料行,臺南市永康區小東路647巷46號,06-3127880 06-3127881
Q002,本成汽車材料有限公司,新北市五股區五權路40號,02-22994041
Q003,釩彥汽車材料行,高雄市新興區八德一路223號,07-2369789
Q004,昆達國際有限公司,臺北市中山區民權東路3段60巷13弄12號1樓,02-25151505
Q005,向暘興業股份有限公司,臺中市大里區立仁路57巷44號,04-22709237
Q006,進階貿易有限公司,臺中市東區台中路165號,04-22617999
Q007,進大汽車材料有限公司,臺北市承德路1段77巷14號,02-25527391
Q008,琦展實業有限公司(世鈺),新北市三重區中正北路193巷35弄56號,02-89816977
Q009,宏竣來令有限公司,臺北市中山區長安東路一段30巷2號,02-25113695
Q010,和泰軔襯實業有限公司,臺南市永康區中正二街98號,06-2538516
Q011,昇億汽車有限公司,臺南市永康區正南2街35號,06-2541122
Q012,嘉洲汽車材料有限公司,臺北市中山區農安街77巷6號,02-25865858/02-25865850
Q013,石立貿易有限公司,臺北市承德路三段129巷4號,02-25866128
Q014,安全剎車工業股份有限公司,新北市鶯歌區大湖路109巷11號,02-26772722
Q015,任曜汽車材料有限公司,高雄市新興區六合一路151號,07-2368655/22355345/2355346
Q016,宜福工業股份有限公司,,06-7211501
Q018,育崑汽材有限公司,新北市瑞芳區新峰里3爪子坑路13巷12號1樓,02-2406-3536
Q019,亞鉅交通器材有限公司,新北市三重區福德南路8巷17號,02-29730033
Q020,吉吉吉貿易有限公司,臺北市中山區德惠街161號1F,02-25856155
Q021,誠一企業,臺南市歸仁區保大路三段366巷78弄28號,06-2736159 2738511
Q022,成煒企業有限公司,臺北市吉林路10巷21號,02-25224971
Q023,吉壹貿易有限公司,高雄市三民區九如2路66號,07-2251688
Q024,友嘉汽車材料有限公司,臺北市大同區承德路三段51巷11號1樓,02-25855851 02-25855853
Q025,北鎮國際軸承貿易有限公司,臺北市大同區承德路2段91巷32號1F,02-25580885
Q026,高堡汽車材料公司,高雄市新興區八德一路67號一樓,02-22224459/07-2360111
Q027,世杰企業股份有限公司,臺北市中山區建國北路三段99號1,02-25031511
Q028,大鑫汽車電機材料行,臺南市北區大武街516號,06-2515711 06-2513820  06-2513038
Q029,光佑國際有限公司,高雄市新興區八德一路377號,07-2368026
Q030,泰倫汽車材料有限公司,高雄市新興區復興1路123-4號,07-2356090
Q031,合成國際有限公司,臺中市南區愛國街70號,04-22298166
Q032,通園貿易有限公司,中山區龍江路257巷21號,02-25037724
Q033,健鑫汽車材料行,高雄市新興區八德一路273號,07-2388001
Q034,弘輝貿易股份有限公司,臺南市歸仁區七甲三街38號,06-2307581
Q035,東杰貿易股份有限公司,新北市新莊區五工五路7-1號新北產業園區/高雄市三民區重慶街186號,02-22982821/07-2620777
Q036,皇上實業有限公司,桃園市龜山區文化三路620巷80弄47-9號,03-27938811.0227937711
Q037,隆輝橡膠有限公司,新北市中和區立德街98巷2號,02-22263607
Q038,國安行,臺南市東山區南溪里85號,06-6233386
Q039,巨邦汽車有限公司,高雄市河北一路178號,07-2360568
Q040,和建交通器材有限公司,臺北市長安西路1172巷5弄10號  臺中市建國南路3段116號,07-2356286
Q041,大將交通器材行,臺中市南區正義街127號,04-22878105
Q042,昶泰貿易有限公司,臺中市東區建勇街14號,04-22806323
Q043,千元汽車材料行,高雄市三民區河北一路283號,07-2359906  07-2359490
Q044,長宏企業社,臺南市永康區中正路279巷12號,06-2021619 06-2034867
Q045,全鑫貿易股份有限公司,臺北市大同區民族西路225巷26號,02-25855650
Q046,乙先汽車材料有限公司,臺中市南區仁德街32號/光輪/臺中市五權南路665號,04-22878685
q047,裙星企業社,臺南市永康區文賢街227巷1號,2736718
Q048,玖凰企業有限公司,臺南市西門路4段423號1F,06-2833639
Q050,黑珍珠國際企業有限公司,桃園縣楊梅鎮員本里民隆路35號,03-4726389
Q051,安君照明有限公司,苗栗縣頭份鎮斗煥里斗煥208-10號,037-671294
Q052,鑫鼎晟實業有限公司,基隆市七堵區工建南路1號,02-24520765
Q053,喬新針織有限公司,台南市官田區184號,06-6900359
Q054,衡旺實業有限公司,臺北市吉林路10巷13號,02-25233295
Q055,喬政軸承有限公司,臺中市南區公理街90號,04-22251822
Q066,三昌實業有限公司,新北市萬里區崁腳里內中幅路38-1號,02-24925940
Q067,滿翰興業有限公司,桃園市中壢區高鐵南路五段832號,03-4902798
Q068,元毅企業有限公司,高雄市新興區八德一路391號,07-2351422  07-352100
Q069,漢華貿易股份有限公司,桃園市龜山區大坑路1段977號,03-3568058
Q070,北騰貿易,臺北市中山區吉林路10巷15號1F,02-25363827
Q071,聯通汽車材料有限公司,臺中市南屯區大墩6街329號,04-23803399
Q072,冠程國際有限公司,,986333910
Q073,振達貿易有限公司,彰化市平和14街57號,047-612867
Q074,華昇汽車材料行,高雄市忠孝1路484巷41號,07-2368670
Q075,泰和電機有限公司,高雄市仁武區考潭村鳳仁路4-70號,07-7311706
Q076,欣峻貿易有限公司,臺北市大同區大龍街215巷1號,02-25910312/02-25924518
Q077,劦大企業有限公司,高雄市新興區忠孝一路291號,07-2381541
Q078,沁泓企業有限公司,新北市新莊區化成路63巷10號,02-22766545
Q079,億沅汽車材料行,高雄市三民區忠孝一路518號,07-2384567
Q080,吉拓峰實業有限公司,臺北市承德路2段120號/臺中市南區國光路106號,04-22211521    台北02-2557-0202
Q081,智好欣業有限公司,臺北市大同區雙連街11巷28號,08-25538118
Q082,鉅盛交通零件行,臺中市大雅區民生路4段290號,04-25603237
Q083,興富森有限公司,桃園市龜山區大湖路11號,07-3758701.03-3275796
Q084,亞秝貿易有限公司,臺中市南區福田3街113巷2號,04-22610762
Q085,光德汽車電器材料行,高雄市新興區八德一路173號,07-2367822/2369909
Z002,銘原汽車材料有限公司,臺南市崇明18街16號,06-2890356
Z004,鍵鑌汽車材料行,高雄市新興區忠孝一路500巷10號,07-2360012/07-2360013
